Company,Supersector,Country,Weight (%)
LEGAL & GENERAL GRP,Insurance,GB,0.18
EQUINOR,Oil & Gas,NO,0.18
HEXAGON B,Technology,SE,0.18
UPM KYMMENE,Basic Resources,FI,0.18
SGS,Industrial Goods & Services,CH,0.17
ASHTEAD GRP,Industrial Goods & Services,GB,0.17
SVENSKA HANDELSBANKEN A,Banks,SE,0.17
KBC GRP,Banks,BE,0.17
CELLNEX TELECOM,Telecommunications,ES,0.17
DEUTSCHE WOHNEN,Real Estate,DE,0.17
FERROVIAL,Construction & Materials,ES,0.17
MERCK,Health Care,DE,0.17
OCADO,Retail,GB,0.16
SYMRISE,Chemicals,DE,0.16
UCB,Health Care,BE,0.16
DELIVERY HERO,Retail,DE,0.16
STANDARD CHARTERED,Banks,GB,0.16
TELEPERFORMANCE,Industrial Goods & Services,FR,0.16
CARLSBERG B,Food & Beverage,DK,0.16
GRP SOCIETE GENERALE,Banks,FR,0.15
AVIVA,Insurance,GB,0.15
SWISSCOM,Telecommunications,CH,0.15
SKANDINAVISKA ENSKILDA BK A,Banks,SE,0.15
REPSOL,Oil & Gas,ES,0.15
BT GRP,Telecommunications,GB,0.15
NOVOZYMES,Health Care,DK,0.14
DNB,Banks,NO,0.14
EDP ENERGIAS DE PORTUGAL,Utilities,PT,0.14
VEOLIA ENVIRONNEMENT,Utilities,FR,0.14
SEGRO,Real Estate,GB,0.13
SWEDBANK,Banks,SE,0.13
HENNES & MAURITZ B,Retail,SE,0.13
SWISS LIFE HLDG,Insurance,CH,0.13
ZALANDO,Retail,DE,0.13
SONOVA,Health Care,CH,0.13
RENTOKIL INITIAL,Industrial Goods & Services,GB,0.13
SWEDISH MATCH,Personal & Household Goods,SE,0.13
CREDIT AGRICOLE,Banks,FR,0.13
JUST EAT TAKEAWAY.COM NV,Retail,NL,0.13
SARTORIUS PREF.,Industrial Goods & Services,DE,0.13
BEIERSDORF,Personal & Household Goods,DE,0.13
NN GROUP,Insurance,NL,0.13
EQT,Financial Services,SE,0.12
SNAM RETE GAS,Oil & Gas,IT,0.12
HALMA,Industrial Goods & Services,GB,0.12
INTERTEK GRP,Industrial Goods & Services,GB,0.12
LOGITECH INTERNATIONAL,Technology,CH,0.12
FIAT CHRYSLER AUTOMOBILES,Automobiles & Parts,IT,0.12
EDENRED,Industrial Goods & Services,FR,0.12
WORLDLINE,Industrial Goods & Services,FR,0.12
CHR HANSEN HLDG,Health Care,DK,0.12
CONTINENTAL,Automobiles & Parts,DE,0.12
HANNOVER RUECK,Insurance,DE,0.12
TERNA,Utilities,IT,0.12
AENA SME,Industrial Goods & Services,ES,0.12
3I GROUP PLC.,Financial Services,GB,0.11
TELENOR,Telecommunications,NO,0.11
WPP,Media,GB,0.11
KINGSPAN GRP,Construction & Materials,IE,0.11
TEMENOS,Technology,CH,0.11
QIAGEN,Health Care,DE,0.11
UMICORE,Chemicals,BE,0.11
SCHINDLER P,Industrial Goods & Services,CH,0.11
MTU AERO ENGINES,Industrial Goods & Services,DE,0.11
SAGE GRP,Technology,GB,0.11
BOUYGUES,Construction & Materials,FR,0.11
JULIUS BAER GRP,Banks,CH,0.11
STRAUMANN,Health Care,CH,0.11
LEG IMMOBILIEN,Real Estate,DE,0.11
ARGENX,Health Care,BE,0.11
KPN,Telecommunications,NL,0.1
INTERCONTINENTAL HOTELS GRP,Travel & Leisure,GB,0.1
TELIA COMPANY,Telecommunications,SE,0.1
GRIFOLS,Health Care,ES,0.1
LINDT & SPRUENGLI REG,Food & Beverage,CH,0.1
PERSIMMON,Personal & Household Goods,GB,0.1
ALSTOM,Industrial Goods & Services,FR,0.1
DANSKE BANK,Banks,DK,0.1
CARREFOUR,Retail,FR,0.1
SPIRAX-SARCO,Industrial Goods & Services,GB,0.1
KUEHNE + NAGEL,Industrial Goods & Services,CH,0.1
EIFFAGE,Construction & Materials,FR,0.1
GALAPAGOS,Health Care,BE,0.1
ASSOCIATED BRITISH FOODS,Food & Beverage,GB,0.1
ELISA CORPORATION,Telecommunications,FI,0.1
PORSCHE PREF,Automobiles & Parts,DE,0.1
INGENICO,Technology,FR,0.1
BUNZL,Industrial Goods & Services,GB,0.1
GRP BRUXELLES LAMBERT,Financial Services,BE,0.1
MONDI,Basic Resources,GB,0.1
THALES,Industrial Goods & Services,FR,0.1
FORTUM,Utilities,FI,0.1
HEINEKEN HLDG,Food & Beverage,NL,0.1
DCC,Industrial Goods & Services,GB,0.1
NEXT,Retail,GB,0.1
PEUGEOT,Automobiles & Parts,FR,0.1
CRODA INTERNATIONAL,Chemicals,GB,0.1
UNIBAIL-RODAMCO-WESTFIELD,Real Estate,FR,0.1
MOWI,Food & Beverage,NO,0.1
SCOUT24,Technology,DE,0.1
RED ELECTRICA CORPORATION,Utilities,ES,0.09
FINECOBANK,Banks,IT,0.09
UNITED UTILITIES GRP,Utilities,GB,0.09
BRENNTAG,Chemicals,DE,0.09
ATOS,Technology,FR,0.09
HEIDELBERGCEMENT,Construction & Materials,DE,0.09
SKANSKA B,Construction & Materials,SE,0.09
ROLLS ROYCE HLDG,Industrial Goods & Services,GB,0.09
BURBERRY,Personal & Household Goods,GB,0.09
ENDESA,Utilities,ES,0.09
MONCLER,Personal & Household Goods,IT,0.09
UBISOFT ENTERTAINMENT,Personal & Household Goods,FR,0.09
EPIROC A,Industrial Goods & Services,SE,0.09
ADECCO,Industrial Goods & Services,CH,0.09
EVOLUTION GAMING GROUP,Travel & Leisure,SE,0.09
CAIXABANK,Banks,ES,0.09
SEVERN TRENT,Utilities,GB,0.09
STORA ENSO R,Basic Resources,FI,0.09
INFORMA,Media,GB,0.09
ATLANTIA,Industrial Goods & Services,IT,0.09
A.P.MOLLER-MAERSK B,Industrial Goods & Services,DK,0.08
NIBE INDUSTRIER B,Construction & Materials,SE,0.08
EUROFINS SCIENTIFIC,Health Care,FR,0.08
STANDARD LIFE ABERDEEN,Financial Services,GB,0.08
SIEMENS HEALTHINEERS,Health Care,DE,0.08
AROUNDTOWN (FRA),Real Estate,DE,0.08
SMURFIT KAPPA GRP,Industrial Goods & Services,IE,0.08
PUBLICIS GRP,Media,FR,0.08
ACS,Construction & Materials,ES,0.08
BALOISE,Insurance,CH,0.08
ERSTE GROUP BANK,Banks,AT,0.08
SWISS PRIME SITE,Real Estate,CH,0.08
MELROSE INDUSTRIES,Industrial Goods & Services,GB,0.08
GN STORE NORD,Health Care,DK,0.08
RYANAIR,Travel & Leisure,IE,0.08
SVENSKA CELLULOSA B,Basic Resources,SE,0.08
CNH Industrial NV,Industrial Goods & Services,IT,0.08
SKF B,Industrial Goods & Services,SE,0.08
ROYAL BANK OF SCOTLAND GRP,Banks,GB,0.08
ASM INTERNATIONAL,Technology,NL,0.08
VIFOR PHARMA,Health Care,CH,0.08
ADMIRAL GRP,Insurance,GB,0.08
ORKLA,Food & Beverage,NO,0.08
BERKELEY GRP HLDG,Personal & Household Goods,GB,0.08
ARCELORMITTAL,Basic Resources,LU,0.08
AGEAS,Insurance,BE,0.08
CD PROJECT SA,Personal & Household Goods,PL,0.07
YARA,Chemicals,NO,0.07
ARKEMA,Chemicals,FR,0.07
HARGREAVES LANSDOWN,Financial Services,GB,0.07
HELLOFRESH AG,Retail,DE,0.07
TELE2 B,Telecommunications,SE,0.07
Naturgy Energy Group,Utilities,ES,0.07
SMITHS GRP,Industrial Goods & Services,GB,0.07
EXOR NV,Financial Services,IT,0.07
BUREAU VERITAS,Industrial Goods & Services,FR,0.07
PUMA,Personal & Household Goods,DE,0.07
BARRATT DEVELOPMENTS,Personal & Household Goods,GB,0.07
RIGHTMOVE GRP,Media,GB,0.07
ORPEA,Health Care,FR,0.07
ALFA LAVAL,Industrial Goods & Services,SE,0.07
KINNEVIK B,Financial Services,SE,0.07
Getlink,Industrial Goods & Services,FR,0.07
AUTO TRADER GROUP,Media,GB,0.07
ST.JAMES'S PLACE CAPITAL,Insurance,GB,0.07
AMBU 'B',Health Care,DK,0.07
SODEXO,Travel & Leisure,FR,0.07
PRYSMIAN,Industrial Goods & Services,IT,0.07
EMS-CHEMIE HLDG,Chemicals,CH,0.07
PENNON GRP,Utilities,GB,0.07
GECINA,Real Estate,FR,0.07
SOLVAY,Chemicals,BE,0.07
COVESTRO,Chemicals,DE,0.07
TAYLOR WIMPEY,Personal & Household Goods,GB,0.07
GALP ENERGIA,Oil & Gas,PT,0.07
SARTORIUS STEDIM BIOTECH,Health Care,FR,0.07
BOLIDEN,Basic Resources,SE,0.07
SWATCH BEARER,Personal & Household Goods,CH,0.07
WHITBREAD,Travel & Leisure,GB,0.07
BIOMERIEUX,Health Care,FR,0.07
ENAGAS,Oil & Gas,ES,0.07
PHOENIX GROUP HDG.,Insurance,GB,0.06
MORRISON (WILLIAM) SUPERMARK,Retail,GB,0.06
BARRY CALLEBAUT,Food & Beverage,CH,0.06
PEARSON,Media,GB,0.06
ACCOR,Travel & Leisure,FR,0.06
RANDSTAD,Industrial Goods & Services,NL,0.06
GVC HOLDINGS,Travel & Leisure,GB,0.06
KINGFISHER,Retail,GB,0.06
ORION B,Health Care,FI,0.06
VALEO,Automobiles & Parts,FR,0.06
DS SMITH,Industrial Goods & Services,GB,0.06
RSA INSURANCE GRP,Insurance,GB,0.06
POLYMETAL INTERNATIONAL,Basic Resources,GB,0.06
EURONEXT,Financial Services,FR,0.06
COCA-COLA HBC,Food & Beverage,GB,0.06
LAND SECURITIES,Real Estate,GB,0.06
AEGON,Insurance,NL,0.06
UNIPER,Utilities,DE,0.06
M&G,Financial Services,GB,0.06
PKNORLEN,Oil & Gas,PL,0.06
