Company,Supersector,Country,Weight (%)
IMMOFINANZ,Real Estate,AT,0.02
NEW WH SMITH,Retail,GB,0.02
EUTELSAT COMMUNICATION,Media,FR,0.02
SUBSEA7,Oil & Gas,NO,0.02
SSP GROUP,Travel & Leisure,GB,0.02
AGGREKO,Industrial Goods & Services,GB,0.02
Virgin Money UK,Banks,GB,0.02
SAIPEM,Oil & Gas,IT,0.02
SANTANDER BANK POLSKA,Banks,PL,0.02
INVESTEC,Financial Services,GB,0.02
HAMMERSON,Real Estate,GB,0.01
CINEWORLD GROUP,Travel & Leisure,GB,0.01
CAPITA GRP,Industrial Goods & Services,GB,0.01
DUFRY GRP,Retail,CH,0.01
